source_path,base_experiment_id,sim_economy_mode,sim_market_spend_mode,sim_price_band_mode,sim_market_choice_mode,fresh_gate_pass,ml_gate_pass,actual_balanced_none,actual_balanced_v9,actual_balanced_delta,actual_power_none,actual_power_v9,actual_power_delta,predicted_balanced_none,predicted_balanced_v9,predicted_balanced_delta,predicted_power_none,predicted_power_v9,predicted_power_delta,recommendation_score
logs/sim/economy_choice_reward038_price240_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.5417,0.65,0.1083,0.6333,0.675,0.0417,0.5315,0.6486,0.1171,0.6459,0.6722,0.0264,3.362
logs/sim/ml_sweep_shape_floor_v87_smoke_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5667,0.6417,0.075,0.6083,0.65,0.0417,0.5242,0.645,0.1208,0.614,0.705,0.091,3.3527
logs/sim/run_modifier_pressure_market_probe_t104_r112_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4833,0.625,0.1417,0.5917,0.6083,0.0167,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,3.306
logs/sim/run_modifier_candidate_fair_t108_r120_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.35,0.525,0.175,0.4583,0.4833,0.025,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,3.2851
logs/sim/economy_spend_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.65,0.65,0.0,0.6,0.7,0.1,0.5225,0.6312,0.1087,0.5835,0.668,0.0845,3.2614
logs/sim/runtime_s4_rank_weight_v1_v9_lift_slot_sell_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.55,0.6333,0.0833,0.625,0.6583,0.0333,0.5316,0.6347,0.1032,0.5938,0.6629,0.0692,3.2613
logs/sim/ml_actual_target_grid_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.65,0.7125,0.0625,0.6125,0.675,0.0625,0.5155,0.5904,0.0749,0.5886,0.6285,0.0398,3.2421
logs/sim/economy_spend_combo045_220_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.5,0.6,0.1,0.625,0.625,0.0,0.5225,0.6312,0.1087,0.5835,0.668,0.0845,3.1864
logs/sim/ml_sweep_v72_exposure_smoke_v84_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5583,0.575,0.0167,0.65,0.7333,0.0833,0.5242,0.645,0.1208,0.614,0.705,0.091,3.186
logs/sim/hand_discard_position_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_boss_expansion_stage_a_hand_discard_probe_v1_s2,trace_only,none,none,none,1,1,0.5375,0.625,0.0875,0.6875,0.7,0.0125,0.543,0.6384,0.0954,0.636,0.7113,0.0752,3.1788
